Id_restaurant,Restaurant,East
1,Daniella Ristorante,0
2,Tello's Ristorante,0
3,Biricchino,0
4,Bottino,0
5,Da Umberto,0
6,Le Madri,0
7,Le Zie,0
8,Pasticcio,1
9,Belluno,1
10,Cinque Terre,1
11,Fino,1
12,Marchi's,1
13,Nicola Paone,1
14,Notaro,1
15,Rossini's,1
16,Trattoria Alba,1
17,Villa Berulia,1
18,Il Postino,1
19,Luna Blu,1
20,San Giusto,1
21,Grifone,1
22,Nanni's,1
23,Osteria Laguna,1
24,Bellini,1
25,Cellini,1
26,Anche Vivolo,1
27,Bruno Ristorante,1
28,Chianti,1
29,Da Antonio Ristorante,1
30,Harry Cipriani,1
31,La Gioconda,1
32,Bice,1
33,Coco Pazzo Café,1
34,DeGrezia,1
35,FELIDIA,1
36,Fresco by Scotto,1
37,Giambelli,1
38,Il Menestrello,1
39,Il Nido,1
40,Il Valentino,1
41,Luna Piena,1
42,Paper Moon Milano,1
43,Teodora,1
44,San Pietro,1
45,Bravo Gianni,1
46,Canaletto,1
47,Il Gatto & La Volpe,1
48,Il Valletto Due Mila,1
49,Scalinatella,1
50,Barbaresco,1
51,Da Filippo,1
52,East River Cafe,1
53,Fred's at Barneys NY,1
54,Il Vagabondo,1
55,Mediterraneo,1
56,Nello,1
57,Primola,1
58,Gino,1
59,Via Oreto,1
60,Bardolino,1
61,Campagnola,1
62,Cucina Vivolo,1
63,Grace's Trattoria,1
64,Lumi,1
65,Mezzaluna,1
66,Sette Mezzo,1
67,Vivolo,1
68,Zucchero e Pomodori,1
69,Baraonda,1
70,Coco Pazzo,1
71,Due,1
72,Il Monello,1
73,Lusardi's,1
74,Maruzzella,1
75,Nino's,1
76,Parma,1
77,Il Riccio,1
78,Andiamo,1
79,Caffe Grazie,1
80,Giovanni Venticinque,1
81,Girasole,1
82,Paola's,1
83,Rughetta,1
84,Triangolo,1
85,Cafe Trevi,1
86,Divino Ristorante,1
87,Elio's,1
88,Erminia,1
89,Firenze,1
90,Luca,1
91,Nicola's,1
92,Primavera,1
93,Sirabella's,1
94,Sistina,1
95,Spada,1
96,Trattoria Rustica,1
97,Carino Ristorante,1
98,Quattro Gatti,1
99,Tony's Di Napoli,1
100,Ecco-la,1
101,Joanna's,1
102,Vico,1
103,Rao's,1
104,Basta Pasta,0
105,Campagna,1
106,Follonico,1
107,Ribollita,1
108,Bondí Ristorante´,0
109,Casa Mia,1
110,Novitá,1
111,Paul & Jimmy's,1
112,Sal Anthony's,1
113,Enoteca i Trulli,1
114,I Trulli,1
115,Lamarca,1
116,Supreme Macaroni Co.,0
117,Veronica,0
118,Arno,0
119,Amarone,0
120,Cara Mia,0
121,Casa Di Meglio,0
122,La Rivista,0
123,Trattoria Dopo Teatro,0
124,Barbetta,0
125,Becco,0
126,Coco Pazzo Teatro,0
127,Orso,0
128,Osteria al Doge,0
129,Pietrasanta,0
130,Rainbow Grill,0
131,Torre di Pisa,0
132,San Domenico,0
133,Trionfo,0
134,ViceVersa,0
135,Artusi,0
136,Ciao Europa,0
137,Limoncello,0
138,Puttanesca,0
139,Rino Trattoria,0
140,Sette MoMA,0
141,Trattoria Del Sogno,0
142,Castellano,0
143,Circo Osteria del,0
144,Giovanni,0
145,Palio,0
146,Remi,0
147,Tuscan Square,0
148,Vago Ristorante,0
149,Bello,0
150,Caffe Cielo,0
151,Da Tommaso,0
152,Il Tinello,0
153,Nocello,0
154,Tino's,0
155,Mangia e Bevi,0
156,Patsy's,0
157,Gabriel's,0
158,Pappardella,0
159,Ernie's,0
160,Pomodoro Rosso,0
161,Scaletta,0
162,"La Grolla, Ristorante",0
163,"Sambuca, Trattoria",0
164,Baci,0
165,Puccini,0
166,Bella Luna,0
167,Métisse,0
168,Gennaro,0
